title,start_year,end_year,genre,summary_tvmaze,summary_imdb,rating_tvmaze,rating_imdb,votes,run_time,language,actors,status
Yi Guyeokui Michin X,2021,2021,"Comedy, Drama, Romance","Bothered to realize they are next-door neighbours and share a psychiatrist, a man and a woman find it's imposibble to stay of each other's way.Alternative name : Mad for Each Other","Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",,7.9,718,30,Korean,"Woo Jung, Yeon-Seo Oh, Lee Hye-Ra, Su-Hyun Lee",Ended
Hap and Leonard,2016,2018,"Crime, Drama, Mystery","Set in the late 1980s, Hap and Leonard is a darkly comic swamp noir story of two best friends, one femme fatale, a crew of washed-up revolutionaries, a pair of murderous psycho-killers, some lost loot and the fuzz. Based on the novels by Joe R. Lansdale, the six-hour series event follows Hap Collins, an East Texas white boy with a weakness for Southern women, and Leonard Pine, a gay, black Vietnam vet with a hot temper. When Hap's seductive ex-wife Trudy resurfaces with a deal they can't refuse, a simple get-rich-quick scheme snowballs into bloody mayhem. Chock full of eccentric characters, Hap and Leonard provides a country twist on the classic mystery thriller.","Set in the late 1980's Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz.",7.6,7.7,7034,60,English,"James Purefoy, Michael Kenneth Williams, Tiffany Mack, Cranston Johnson",Ended
Winx Club,2004,2019,"Animation, Action, Adventure","Bloom, Stella, Flora, Aisha, Tecna and Musa are here to protect the Magic Dimension and go on fun fairy adventures!","At Alfea College, fairy warriors from all over the universe study to improve their supernatural powers. Bloom from planet Earth joins them upon discovery of her magical ability.",7.1,6.2,5202,25,English,"Molly C. Quinn, Keke Palmer, Matt Shively, Amy Gross",Ended
Odd Squad,2014,,"Action, Adventure, Comedy","Odd Squad is a Canadian/American children's live action television series that premiered on TVOKids in Canada and PBS Kids in the United States on November 26, 2014, both on the same day. The series is created by Tim McKeon and Adam Peltzman and is co-produced by The Fred Rogers Company and Sinking Ship Entertainment in association with TVOKids and Ici Radio-Canada Télé. The series features young agents who use indirect reasoning and math to solve and investigate strange happenings in their town. This is commonly in the form of satire, or other comedic archetypes, and are used to teach the audience differing lessons in mathematics. In the UK it airs on CBBC and Pop. In Latin America it airs on Discovery Kids.","Geared for children ages 5-8, ""Odd Squad"" follows two young agents, Olive and Otto, who are part of an agency that seeks to save the day using math when odd things happen.",,6.5,946,27,English,"Millie Davis, Sean Michael Kyer, Dalila Bela, Filip Geljo",Running
Chewing Gum,2015,2017,Comedy,"Chewing Gum is a comedy series following religious, Beyoncé-obsessed 24-year-old Tracey Gordon who is fast finding out that the more she learns about the world, the less she understands.","The life of Tracey and the mishaps of her neighbourhood, friends and family, and of course, her boyfriend.",7.7,7.7,8245,23,English,"Michaela Coel, Danielle Walters, Robert Lonsdale, Shola Adewusi",Ended
Swedish Dicks,2016,2018,"Comedy, Crime","Comedy series set in Downtown Los Angeles. The first ten episode season centers around Ingmar, an ex stunt man, now trying to survive as a small time private detective. One day his miserable life takes a new turn when he stumbles into Axel, a former, somewhat successful DJ. Together they partner up and start their own private investigator firm, Swedish Dicks. They become a great team taking on the strangest and wildest cases in LA, but when Ingmar's past catches up with them they have to solve the murder mystery of Ingmar's former stunt buddy Tex.",Two unlicensed Swedish private investigators try to make a living in Los Angeles.,6.0,6.8,3064,30,Swedish,"Peter Stormare, Johan Glans, Vivian Bang, Felisha Cooper",Ended
Fate/stay night: Unlimited Blade Works,2014,2015,"Animation, Action, Fantasy",Fate/Stay Night: Unlimited Blade Works follows seven mages paired with seven legendary heroes from across history all battling it out for the ultimate prize: the wish-granting holy grail.,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.",7.8,8.0,6739,24,Japanese,"Mela Lee, Bryce Papenbrook, Noriaki Sugiyama, Kana Ueda",Ended
Yu yu hakusho,1992,1995,"Animation, Action, Adventure",,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...",,8.4,12214,24,,"Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz",Ended
Ingobernable,2017,2018,"Crime, Drama, Mystery","The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.","The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.",6.9,7.1,2858,40,Spanish,"Kate del Castillo, Leah Allers, Eréndira Ibarra, Alberto Guerra",Ended
Disjointed,2017,2018,Comedy,"Disjointed is a workplace comedy starring Kathy Bates as a lifelong advocate for legalization who's finally living her dream as the owner of an L.A.–area cannabis dispensary. Joining her are three budtenders, her twenty-something son and a deeply troubled security guard. All of them are more or less constantly high.","Cannabis legend Ruth Whitefeather Feldman employs her newly graduated son and a team of young ""budtenders"" to help run her Los Angeles marijuana dispensary.",5.7,6.8,9330,30,English,"Kathy Bates, Aaron Moten, Elizabeth Alderfer, Tone Bell",Ended
Between,2015,2016,"Drama, Mystery, Sci-Fi",Between is the story of a town under siege from a mysterious disease that has wiped out everybody except those 21 years old and under. The series explores the power vacuum that results when a government has quarantined a 10-mile diameter area and left the inhabitants to fend for themselves.,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them",6.5,6.0,8647,60,English,"Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac",Ended
The Get Down,2016,2017,"Drama, Music, Musical","1970s New York City - broken down and beaten up, violent, cash strapped - dying. Consigned to rubble, a rag-tag crew of South Bronx teenagers are nothings and nobodies with no one to shelter them - except each other, armed only with verbal games, improvised dance steps, some magic markers and spray cans. From Bronx tenements, to the SoHo art scene; from CBGBs to Studio 54 and even the glass towers of the just-built World Trade Center, The Get Down is a mythic saga of how New York at the brink of bankruptcy gave birth to hip-hop, punk and disco - told through the lives and music of the South Bronx kids who changed the city, and the world... forever.",A ragtag group of teenagers run wild in the streets of the Bronx in the late 1970s.,7.8,8.3,21504,52,English,"Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks",Ended
Comedians in Cars Getting Coffee,2012,2019,"Animation, Comedy, Family","In Comedians in Cars Getting Coffee, comedian Jerry Seinfeld takes his comedy pals out for coffee in a selection of his classic automobiles. Larry David sums it up best when he says, 'You've finally made a show about nothing.","Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way.",7.3,8.1,11473,20,English,"Jerry Seinfeld, Michael Richards, Mario Joyner, Jimmy Fallon",Ended
Hache,2019,2021,"Crime, Drama, Thriller","Hache is inspired by real events and follows Helena, a prostitute who begins as a simple worker in the hands of Malpica, the head of a mafia gang that operates in the city of Barcelona in the 1960s. Helena will go through a sinuous learning process which will take her from the most meaningless position to become the leader of that same heroin organization.","Inspired by real events, Hache is the story of Helena, a woman catapulted to the heroin trafficking business in the Barcelona of the 60s.",6.8,6.5,1368,50,Spanish,"Adriana Ugarte, Eduardo Noriega, Marc Martínez, Pep Ambròs",To Be Determined
Gokushufudo,2021,,"Animation, Action, Comedy",,A retired gangster spends his time as a househusband carrying out home chores.,,7.3,2437,16,,"Kenjirô Tsuda, Shizuka Itô, Kazuyuki Okitsu, Melissa Greenspan",Running
The Paradise,2012,2013,Drama,An intoxicating love story set in England's first department store in the 1870s.,The story of a young woman who works in a department store and gets caught up in the charms of the modern world.,7.8,7.7,10883,60,English,"Joanna Vanderham, Emun Elliott, Stephen Wight, Sonya Cassidy",Ended
Yeokdoyojeong Gim Bokju,2016,2017,"Comedy, Romance",,"A coming-of-age story about a group of college athletes who are fighting for their dreams, experiencing and finding love in the process, and growing every step of the way.",,8.4,6035,60,,"Lee Song-Kyoung, Nam Joo-Hyuk, Jae-yoon Lee, Hye-Jung Cho",Ended
Sexy Beasts,2014,,Comedy,,A show on a mission to to proving that persona is more crucial than physicality when it comes to the attraction of both sexes. Top-of-the-range hollywood prosthetics are used to disguise ...,,5.5,53,,,"Rob Delaney, Dan Frigolette, Belindah Chaka, Sara Rosenberg",Running
Monster: The Jeffrey Dahmer Story,2022,2022,"Biography, Crime, Drama","Between 1978 and 1991, Jeffrey Dahmer gruesomely took the lives of seventeen innocent victims. DAHMER - Monster: The Jeffrey Dahmer Story is a series that exposes these unconscionable crimes, centered around the underserved victims and their communities impacted by the systemic racism and institutional failures of the police that allowed one of America's most notorious serial killers to continue his murderous spree in plain sight for over a decade.",Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.,6.7,,,53,English,"Evan Peters, Karen Malina White, David Barrera, Shaun J. Brown",Ended
Chef's Table,2015,2019,Documentary,"Chef's Table is an original docu-series, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",7.6,8.5,14082,50,English,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",Running
Carmen Sandiego,2019,2021,"Animation, Action, Adventure","A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans -- with help from her savvy sidekicks.","The adventures of Carmen Sandiego, a globe-hopping master thief.",7.3,7.9,4796,22,English,"Finn Wolfhard, Gina Rodriguez, Liam O'Brien, Abby Trott",Ended
The New Legends of Monkey,2018,2020,"Action, Adventure, Comedy","Inspired by the 16th Century Chinese fable Journey to the West, The New Legends of Monkey follows a teenage girl and a trio of fallen gods on a perilous journey as they attempt to bring an end to a demonic reign of chaos and restore balance to their world.","Entering the mythical world of the Monkey King, where a young monk and his group of disciples are on a journey to collect scrolls of Buddhist wisdom.",6.7,6.5,3894,24,English,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel",Ended
Haunted,2018,2021,"Horror, Reality-TV",Real people share true stories of terrifying hauntings and unexplained phenomena via emotional accounts and chilling re-enactments.,"A chilling glimpse into the first-person accounts from people who have witnessed horrifying, peculiar, extraordinary supernatural events and other unexplained phenomena that continue to haunt them.",7.0,4.7,2934,24,English,"Vanda Chaloupková, Hana Baronová, Vojtech Hýzdal, Janek Gregor",Ended
Q-Force,2021,2021,"Animation, Action, Adventure","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,5.4,,,30,English,"Gary Cole, David Harbour, Patti Harrison, Sean Hayes",Ended
A Suitable Boy,2020,2020,"Drama, Romance","A Suitable Boy tells the story of spirited university student Lata, coming of age in North India in 1951 at the same time as the country is carving out its own identity as an independent nation and is about to go to the polls for its first democratic general election. It is a vast, panoramic tale charting the fortunes of four large families and exploring India and its rich and varied culture at a crucial point in its history.","A vast, panoramic tale charting the fortunes of four large families and exploring India and its rich and varied culture at a crucial point in its history.",6.8,5.7,4567,60,English,"Tanya Maniktala, Ishaan Khattar, Mahira Kakkar, Danesh Razvi",Ended
La valla,2020,2020,"Drama, Sci-Fi","In 2045, Spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. One family's fight for survival in a future dystopian Madrid illustrates the disparity between two worlds separated by a fence and so much more.","In 2045, Spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. Life in the countryside is impossible, and in the city a fence divides peoples into the powerful, and the rest.",7.0,6.8,2911,50,Spanish,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk",Ended
Ask-i Memnu,2008,2010,"Drama, Romance","Having lost his wife eleven years ago, Adnan devoted all his attention to his daughter Nihal and his son Bülent. Adnan, who lives in one of the most prominent mansions along the Bosporus in Istanbul with a relative's son Behlül, and his children's nanny, meets Bihter who is also a socialite couple's daughter she is very elegant and beautiful, everyone who meets her get stunned and jealous of her, and he falls in love with her. While searching for peace, safety and happiness in Adnan's mansion, Bihter meets passion. Behlül and Bihter fall completely into each other and become drowned by their infatuation with each other. Their secret love affair will soon affect every member of the family.","Having lost his wife eleven years ago, Adnan devoted all his attention to his daughter Nihal and his son Bülent. Adnan, who lives in one of the most prominent mansions along the Bosporus in...",,7.4,12276,90,Turkish,"Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Hazal Kaya",Ended
My Babysitter's a Vampire,2011,2012,"Action, Comedy, Fantasy",,"Ethan Morgan, his half-vampire babysitter and pals battle against creatures from their nightmares.",,7.1,3986,22,,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy",Ended
Unité 42,2017,2019,"Crime, Drama, Thriller","Unité 42 is a detective series, which carries us through the twists and turns of the Internet and emerging technologies. Modern technology allows criminals to act in the real world, all the while shielded by their computer screens. The police's Digital Unit therefore combines field investigations and virtual expeditions using a unique duo: Sam, a cop newly transferred from the homicide bureau (and not particularly tech-savvy), and Billie, a young, feisty policewoman and IT expert. They will need to collaborate, not without difficulty at first, before being able to learn from each other. For behind each case of cyber criminality, first and foremost, lies a human story to be told.","While having to raise his three children on his own, Inspector Sam Leroy joins Brussels' Cyber Crime Unit. Confronted with new codes, he must collaborate with Billie Vebber, a former hacker who covertly pursues objectives of her own.",7.0,7.0,1997,52,French,"Patrick Ridremont, Constance Gay, Tom Audenaert, Roda Fawaz",Ended
Why Are You Like This?,2018,,Comedy,,"Best friends Penny and Mia set out to right all that's wrong with the world, blissfully ignorant of how many people they torment along the way.",,6.5,1142,,,"Naomi Higgins, Olivia Junkeer, Wil King, Lawrence Leung",Running
Luis Miguel: La Serie,2018,2021,"Biography, Drama, History","Luis Miguel is the official authorized TV series based on the life of the internationally renowned music super star, 10-time Billboard Latin Music Award winner and multi-platinum recording artist. The TV series will have its world premiere on Telemundo and will be produced by Gato Grande Productions. MGM's President, Television Group and Digital, Mark Burnett, will help develop the series and lead Gato Grande in its first scripted project designed to tackle the growing U.S. Hispanic market.","The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.",,8.0,3695,60,Spanish,"Diego Boneta, Gabriel Nuncio, César Bordón, Cesar Santana",Ended
Jamtara: Sabka Number Ayega,2020,,Crime,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.",,7.3,5236,29,Hindi,"Amit Sial, Dibyendu Bhattacharya, Aksha Pardasany, Sparsh Srivastav",To Be Determined
Degrassi: Next Class,2016,2017,"Drama, Romance","Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.Degrassi: Next Class is a Canadian teen drama television series set in the Degrassi universe, which was created by Linda Schuyler and Kit Hood in 1979. It is the fifth series in the Degrassi franchise, following The Kids of Degrassi Street, Degrassi Junior High, Degrassi High, and Degrassi: The Next Generation. ""Next Class"" is a direct sequel series to ""Degrassi: The Next Generation"" and is being considered the second incarnation of it. Like its predecessors, the series follows an ensemble cast of students at Degrassi Community School who face various challenges often seen as taboo such as sex, teen pregnancy, date rape, drug abuse, self image, homosexuality, self-injury, suicide, abortion, domestic violence, death, racism and many other issues.","Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto.",6.3,6.9,2876,30,English,"Na'ku'set Gould, Amanda Arcuri, Sara Waisglass, Ehren Kassam",Ended
Somebody Feed Phil,2018,,Documentary,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.",Phil travels around the world sampling food and tradition with friends and a sense of humor.,7.8,8.3,3936,60,English,"Phil Rosenthal, Monica Horan, Judy Gold, Julia Reed",Running
El ministerio del tiempo,2015,2020,"Adventure, Comedy, Fantasy","A warrior from the 16th century, the first female university student from the 19th century and a nurse from the 21st century, join a secret agency to prevent people to change the Spanish history by using time-traveling doors.","A warrior from the 16th Century, the first female university student from the 19th Century, and a paramedic from the 21st Century join a secret agency to prevent people from changing Spanish history using time-traveling doors.",7.8,8.2,4623,70,Spanish,"Cayetana Guillén Cuervo, Juan Gea, Francesca Piñón, Jaime Blanch",Ended
She's Gotta Have It,2017,2019,Comedy,"She's Gotta Have It centers on Nola Darling, a Brooklyn-based artist in her late twenties struggling to define herself and divide her time amongst her Friends, her Job and her Three Lovers: The Cultured Model, Greer Childs, The Protective Investment Banker, Jamie Overstreet and Da Original B-Boy Sneakerhead, Mars Blackmon.",The story of one woman and her three lovers. TV series based on the film by Spike Lee.,6.6,6.8,4322,30,English,"DeWanda Wise, Anthony Ramos, Lyriq Bent, Cleo Anthony",Ended
Moesha,1996,2001,"Comedy, Drama, Family","Set in the Leimert Park section of Los Angeles, Moesha follows the life of a happy-go-lucky family through the eyes of a typical teenage girl. Her father, Frank, a Saturn car salesman, has remarried Dee, a teacher at her school, much to Moesha's dismay. As Dee makes real headway becoming a mother to Moesha's little brother, Myles, Moesha's fond memories of her real mother have inhibited her from opening up completely to Dee.",A teenager struggles to come to terms with everything life throws at her.,,5.8,3430,30,English,"Brandy Norwood, William Allen Young, Marcus T. Paulk, Lamont Bentley",Ended
Unsolved,2018,,"Biography, Crime",,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,,7.9,7032,60,,"Josh Duhamel, Bokeem Woodbine, Wavyy Jonez, Marcc Rose",Running
Arifureta Shokugyou de Sekai Saikyou,2019,,"Animation, Action, Adventure","Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with the rest of his class, is summoned to a fantasy world! They're treated like heroes and tasked with the duty of saving the human race from utter extinction. But what should have been any otaku's wet dream quickly turns into Hajime's nightmare. While the rest of his class are blessed with godlike powers, Hajime's job, Synergist, only has a single transmutation skill. Ridiculed and bullied by his classmates for being weak, he soon finds himself in despair. Will he be able to survive in this dangerous world of monsters and demons with only a glorified blacksmith's level of strength?","Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with ...",7.1,7.0,1613,23,Japanese,"Tia Lynn Ballard, Matt Shipman, AmaLee, Patrick Seitz",To Be Determined
Nabillera,2021,2021,Drama,"Navillera follows the life of Duk Chool, who begins ballet at the age of 70, and the 23-year-old ballerino Chae Rok who gets lost while chasing his dreams. The drama will tell a story of growth about people who pursue their dreams because life only comes around once.",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,7.4,8.8,1161,60,Korean,"In-hwan Park, Song Kang, Moon-hee Na, Hong Seung-hee",Ended
Grand Designs,1999,,Documentary,Kevin McCloud follows intrepid individuals trying to design and build their dream home.,"Kevin McCloud follows people as they build their dream house, often focusing on modern design, energy efficiency, maximizing space and views.",7.8,8.5,2855,50,English,"Kevin McCloud, Jeremy Till, Robert Gaukroger, Deborah Sheridan-Taylor",Running
Run On,2020,2021,"Drama, Romance","Run On tells the love story of Ki Sun Kyum who is a former sprinter who is working to become a sports agent on jTBC, and Oh Mi Joo who is a subtitle translator.","Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life",7.2,7.6,1638,70,Korean,"Si-wan Yim, Shin Se-Kyung, Sooyoung Choi, Tae-oh Kang",Ended
Down to Earth with Zac Efron,2020,,"Documentary, Short, History","Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.","In this travel show, actor Zac Efron journeys around the world with wellness expert Darin Olien in search of healthy, sustainable ways to live.",6.6,8.1,5754,40,English,"Zac Efron, Darin Olien, Carmen Yulín Cruz, Anna Kendrick",To Be Determined
The Rational Life,2021,2021,"Drama, Romance","A career woman over the age of 30 stands up against unfair practices at the workplace. She is caught between two men - her trusted assistant and her boss who is an eligible bachelor. Always one to choose reason over emotion, will Shen Ruoxin who is considered a 'leftover woman' be brave enough to pursue a romance with a younger man or will she marry the man that society dictates? ",Shen Ruo Xin is a thirty-something professional who decides to take a stand against unfair societal expectations At her workplace she finds herself drawn to two different men - one her ...,,8.2,192,45,Chinese,"Lan Qin, Dylan Wang, Pan Hong, Bao Wen Jin",Ended
The Toys That Made Us,2017,2019,"Documentary, Comedy, History",The minds behind history's most iconic toy franchises discuss the rise -- and sometimes fall -- of their billion-dollar creations.,The minds behind history's most iconic toy franchises discuss the rise (and sometimes fall) of their billion-dollar creations.,7.9,8.1,5161,46,English,"Donald Ian Black, Mark Bellomo, David Vonner, Kirk Bozigian",Ended
Clarence,2013,2018,"Animation, Short, Adventure",,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.",,6.6,7736,23,,"Spencer Rothbell, Katie Crown, Tom Kenny, Sean Giambrone",Ended
Word of Honor,2021,,"Action, Drama, Fantasy",,Zhou Zi Shu gets embroiled in a conspiracy in the martial arts world. He meets Wen Ke Xing who escapes from the Ghost Valley to avenge his parents' deaths. They become fast friends and embark on an adventure to find a legendary treasure.,,9.1,2166,45,,"Jun Gong, Zhehan Zhang, Ye Zhou, Wenyuan Ma",Running
Green Eggs and Ham,2019,2022,"Animation, Short, Adventure","Opposites Guy and Sam take a road trip to save an endangered animal, learning to try new things like hope, friendship, and a certain delectable dish.","An animated series based on the popular Dr. Seuss story ""Green Eggs and Ham.""",7.3,8.2,2030,26,English,"Michael Douglas, Adam Devine, Ilana Glazer, Diane Keaton",Ended
PJ Masks,2015,2021,"Animation, Action, Adventure","Based on Romuald Racioppo's picture book series Les Pyjamasques, PJ Masks is an animated series that follows the night-time adventures of three young friends and their superhero alter egos, who go into the night to save the day.","When young friends Connor, Amaya, and Greg put on their pajamas and activate their animal amulets, they turn into their alter egos: Catboy, Owlette, and Gekko as they embark on adventures that are filled with action.",5.4,5.5,1024,24,English,"Addison Holley, Kyle Breitkopf, Juan Luis Bonilla, Brianna Daguanno",Ended
Pokémon Journeys,2019,,"Animation, Adventure",,"With his partner Go and his Pokémon Scorbunny in the Galar region, Ash with his Pikachu tries to capture Mew and all the Pokémon. Meanwhile, the three members of Team Rocket Jessie, James ...",,6.2,177,,,"Rica Matsumoto, Ikue Ôtani, Daiki Yamashita, Kana Hanazawa",Running
Falsa Identidad,2018,,"Crime, Drama, Thriller",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,"Diego is a hustler and is forced to leave the country and he goes to live in the US. Camila, a mother of two children vanishes with a new identity. Diego, Camila, and her kids are paired up as they cross the border as a family.",,7.2,262,60,Spanish,"Luis Ernesto Franco, Samadhi Zendejas, Eduardo Yáñez, Barbie Casillas",Running
Men Behaving Badly,1992,2014,Comedy,"Gary needs a lodger to help pay the mortgage on his flat. Unfortunately, neither of his lodgers seems to be able (or willing) to pay any rent at all! First there's Dermot and then Tony. Both of these fall for Deborah, who owns the flat upstairs, but get nowhere. Gary also has thoughts in that direction - his problem being the fact that he has a regular girlfriend, Dorothy, who he lives with!",Two early thirties best friends live together while having completely different personalities. While their girlfriends try to help them take on more responsibilities the boys seldom respond well and usually end up drinking together.,7.9,7.7,7550,45,English,"Martin Clunes, Caroline Quentin, Leslie Ash, Neil Morrissey",Ended
"Bom Dia, Verônica",2020,2024,"Crime, Drama, Mystery","Adapted from the eponymous book written by the criminologist Ilana Casoy and the writer Raphael Montes, the fictional thriller accompanies this determined police officer, who uses all her investigative skills to dive into two intriguing cases and help victims to wake up against violence and injustice. The first, a woman tricked by an internet scammer. The second, Janete, the wife of Brandão, an intelligent and dangerous serial killer who leads an apparently normal life, but who, behind the facade, reveals a cruel mind capable of imprisoning its prey like birds in a cage.","After witnessing a suicide, an unobtrusive police clerk decides to investigate two neglected cases on her own, both involving abused women.",6.8,7.6,2893,49,Portuguese,"Tainá Müller, Camila Morgado, Eduardo Moscovis, Antônio Grassi",Ended
Get Even,2020,2020,"Crime, Drama, Thriller","On the surface Kitty, Margot, Bree and Olivia appear to have nothing in common but there's one passion which unites them - to expose injustice. They form their own secret society, DGM - they Don't Get Mad, they Get Even - playing anonymous pranks to expose bullies. But when their latest target, Ronny, ends up dead with a DGM card in his hands, the girls realise that they're not as anonymous as they thought - someone now wants revenge.",It follows four teenage girls at private elite school who form their own secret society to expose bullies.,7.3,6.5,1904,28,English,"Kim Adis, Bethany Antonia, Jessica Alexander, Mia McKenna-Bruce",Ended
Fi,2017,2018,"Drama, Romance","A popular series of 3 books (Fi - Çi - Pi) by Turkish author Azra Kohen, Fi is the journey of having to experiment without fear instead of getting lost in the experience. The abundance of manipulation, sex, deceit, and deceitful stories may attract everyone's attention, but there is only awareness where the truth is to be reached.","The story of those who pursue passion, those who fly at the expense of burning, and those who stand up against life in pain.",,7.8,9721,60,Turkish,"Ozan Güven, Serenay Sarikaya, Mehmet Günsür, Berrak Tüzünataç",Ended
The World of the Married,2020,2020,"Drama, Romance","Ji Sun Woo is a family medicine doctor. She is married to Lee Tae Oh nd they have a son. She seems to have everything, including a successful career and a happy family, but she is betrayed by her husband and others.Meanwhile Lee Tae Oh dreams of becoming a famous movie director. He runs an entertainment business with the support of his wife Ji Sun Woo. Even though he loves his wife, Lee Tae Oh falls into a dangerous relationship.",A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.,7.7,8.1,1863,80,Korean,"Kim Hee-ae, Park Hae-joon, So-hee Han, Kim Young-min",Ended
Kôkaku kidôtai: Stand Alone Complex,2002,2005,"Animation, Action, Crime",,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,,8.5,18383,24,,"Shirô Saitô, Mary Elizabeth McGlynn, William Frederick Knight, Richard Epcar",Ended
Tower of God,2020,,"Animation, Action, Adventure","Tower of God centers around a boy called Twenty-Fifth Bam, who has spent most of his life trapped beneath a vast and mysterious Tower, with only his close friend, Rachel, to keep him company. When Rachel enters the Tower, Bam manages to open the door into it as well, and faces challenges at each floor of this tower as he tries to find his closest companion. ","Reach the top, and everything will be yours. At the top of the tower exists everything in this world, and all of it can be yours.",7.2,7.8,4059,23,Japanese,"Matthew David Rudd, Johnny Yong Bosch, Chris Hackney, Cherami Leigh",Running
Dirty Money,2018,,"Documentary, Crime",,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.",,8.1,8359,60,,"Matt Taibbi, Alex Gibney, Anabel Hernández, Fahmi Quadir",Running
Love/Hate,2010,2014,"Crime, Drama","He skipped Dublin when a gun was found in his house and he's been living for the past year in Spain but Darren Tracey decides to risk it and come back to Dublin. He's homesick and a party for his brother's release from prison is the perfect excuse. It's only for the weekend but sometimes life is full of surprises - especially if you and your friends are in gangland. When one of the gang is killed, suspicion runs rife and thoughts turn to revenge.","The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.",7.9,8.5,6346,51,English,"Tom Vaughan-Lawlor, Killian Scott, Aoibhinn McGinnity, Charlie Murphy",Ended
Seulgirowun Gamppangsaenghwal,2017,2018,"Comedy, Drama",Prison Playbook is a black comedy in which we follow a baseball player and a variety of people experience prison life. The drama will share the lives and stories behind these prisoners as well as events that take place there.,"Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox.",7.9,8.4,2163,90,Korean,"Hae-soo Park, Jung Kyung-ho, Krystal Jung, Kyoo-hyung Lee",Ended
Dolly Parton's Heartstrings,2019,2019,"Comedy, Drama, Music","Dolly Parton's Heartstrings is an anthology series, where every episode is based on a song by the country music icon Dolly Parton.",8 of singer/songwriter Dolly Parton's most famous songs are brought to life in 8 different episodes.,6.7,7.6,1920,62,English,"Dolly Parton, Delta Burke, Julianne Hough, Melissa Leo",Ended
