title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
Shawn Mendes: In Wonder,2020,,"['Documentary', 'Music']",6.6,1814,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.",83,,,"['Shawn Mendes', 'Camila Cabello', 'Evan A. Dunn']",['Grant Singer']
Nailed It! Holiday!,2018,Ongoing,['Reality-TV'],7.7,941,"Novice chefs compete in a holiday-themed cooking challenges to earn a $10,000 prize.",31,,Series,"['Nicole Byer', 'Jacques Torres', 'Charity George', 'Jason Mantzoukas']",
Noura Rêve,2019,,['Drama'],6.5,326,"With her abusive husband in jail and a coveted divorce pending, hardworking Noura can almost grasp a happy, new life with lover Lassaad - but when the best-laid plans are upended, Noura must tap her unshakable will to fulfill her dream.",92,,,"['Hind Sabri', 'Lotfi Abdelli', 'Hakim Boumsaoudi', 'Imen Cherif']",['Hinde Boujemaa']
The Exorcism of Anna Ecklund,2016,,['Horror'],2.5,1047,A Priest and a Vatican investigator take a possessed housewife to a convent to perform an Exorcism.,79,,,"['Lee Bane', 'Tiffany Ceri', 'Jeff Raggett', 'Judith Haley']",['Andrew Jones']
Free Rein: The Twelve Neighs of Christmas,2018,,"['Adventure', 'Comedy', 'Drama']",6.5,2761,"While Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia.",56,,TV Movie,"['Jaylen Barron', 'Billy Angel', 'Manpreet Bambra', 'Celine Buckens']",['Marek Losey']
Lift Me Up,2015,,['Family'],5.6,623,"A young lady, who recently lost her mother, faces the challenges of high school and her very strict step-father. Through personal growth, and an amazing dedication to dance, she learns to find the peace and happiness of family.",108,,,"['Todd Cahoon', 'Sarah Frangenberg', 'Shane Harper', 'Jonny Jay']",['Mark Cartier']
My Magic Pet Morphle,2019,Ongoing,"['Animation', 'Adventure', 'Family']",4.9,57,"Mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted Mila the most magic pet of all, Morphle.",43,,Series,"['Sabrina Glow', 'Cassie Glow']",
Yummy Mummies,2017,Ongoing,['Reality-TV'],4.1,623,"Four women make lavish preparations for their new arrivals. From bouquets of money to horse-drawn carriages and opulent baby showers, their spending knows no bounds.",40,,Series,,
La dona il·legal,2020,,['Drama'],6.1,147,The life of an immigration lawyer changes radically when his new client appears dead in suspicious circumstances inside a CIE (immigration detention center).,119,,,"['Daniel Faraldo', 'Isak Férriz', 'Yolanda Sey', 'Montse Germán']",['Ramon Térmens']
Brené Brown: The Call to Courage,2019,,"['Documentary', 'Drama']",7.7,1296,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,76,,,['Brené Brown'],['Sandra Restrepo']
Qalb Ummuh,2018,,['Comedy'],6.1,716,A mobster has a heart transplant from a young man's mother .,102,,,"['Hesham Maged', 'Shikoo', 'Dalal Abdulaziz', 'Mahmoud Ellisy']",['Amr Salah']
Desenterrando Sad Hill,2017,,['Documentary'],7.4,1454,"A documentary following film fans working to restore the set of the climatic graveyard scene from the iconic spaghetti western Il buono, il brutto, il cattivo (1966).",86,,,"['Ennio Morricone', 'James Hetfield', 'Joe Dante', 'Clint Eastwood']",['Guillermo de Oliveira']
Dashi Mannan Segye,2017,,"['Fantasy', 'Romance']",7.4,186,"Sung Hae Sung (Yeo Jin Goo, Circle: Two Worlds Connected) is a cheery high school student. Being the eldest sibling, he wants to provide for his family instead of going to college. On the ...",,,,"['Sol-bin Ahn', 'Kwak Dong-yeon', 'Park Jin-Joo', 'Soo-Ho Shin']",
Khozhdenie po mukam,2017,Ongoing,['Drama'],7.7,797,"Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.",,,Series,"['Yulia Snigir', 'Anna Chipovskaya', 'Leonid Bichevin', 'Andrey Merzlikin']",
Rea(l)ove,2018,Ongoing,['Reality-TV'],6.7,156,"While this Japanese reality dating show borrows heavily from American and British staples such as Love Island, Paradise Hotel, and Bachelor in Paradise, the would-be lovers also possess ""...",40,,Series,"['Atsushi Tamura', 'Mari Yaguchi']",
(Un)Well,2020,Ongoing,['Documentary'],6.4,901,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",,,Series,['Jennifer Julian'],
Oompa-Loompas,,,,,,TV series centering on the adventures of the little people who worked at Willy Wonka's chocolate factory.,,,,,
"Good Bye, My Princess",2019,,"['Drama', 'Fantasy', 'Romance']",8.0,105,"Xiao Feng (Peng Xiao Ran) is the beloved princess of Western Liang when she is arranged to marry the crown prince Li Cheng Yin (Chen Xing Xu). Loved by her people immensely, she sets off on...",,,,"['Xingxu Chen', 'Le Guan', 'Kai Jiang', 'Gallen Lo']",
Leobeulli Horeobeulli,2018,,"['Comedy', 'Drama', 'Horror']",6.5,241,"Philip and Eul-Soon seem to share fate. If one person is happy, the other person is unhappy. Philip is a top star. Eul-Soon is drama series screenwriter. They begin to work together for a ...",35,,,"['Song Ji-Hyo', 'Shi-hoo Park', 'Jung Soon-won', 'Kim Young-woong']",
The Governor,2016,Ongoing,['Drama'],7.3,91,"The Governor"" is the riveting tale of Angela Ochello, the Deputy Governor of Savannah State, who with no governorship ambitions finds herself suddenly entangled in a web of political ...",,,Series,"['Caroline Chikezie', 'Samuel Abiola Robinson', 'Jude Chukwuka', 'Kunle Coker']",
3 Türken & ein Baby,2015,,['Comedy'],5.5,1646,"The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: ...",95,,,"['Kida Khodr Ramadan', 'Eko Fresh', 'Kostja Ullmann', 'Sabrina Klüber']",['Sinan Akkus']
Braxton Family Values,2011,Ongoing,"['Biography', 'Comedy', 'Drama']",5.9,602,"The tight-knit Braxton sisters, Grammy-winning artist Toni Braxton, Traci, Towanda, Trina and Tamar, and their headstrong mother share an inside look at their lives and the drama of family chaos.",60,,Series,"['Traci Braxton', 'Toni Braxton', 'Trina Braxton', 'Towanda Braxton']",
Incir Reçeli,2011,,"['Drama', 'Romance']",6.5,12508,"On a night of despair after being turned down continuously for the scripts he writes, Metin ends up in a bar where he meets a girl named Duygu. After spending the night together, she walks ...",94,,,"['Sezai Paracikoglu', 'Melike Güner', 'Sinan Çaliskanoglu', 'Barbara Lourens']",['Aytaç Agirlar']
Father Soldier Son,2020,,"['Documentary', 'War']",7.3,835,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.",99,,,"['Brian Eisch', 'Isaac Eisch', 'Joey Eisch', 'Roxanne Gregory']","['Leslye Davis', 'Catrin Einhorn']"
Alma,2021,Ongoing,"['Drama', 'Horror', 'Mystery']",,,"After surviving a bus crash that kills most of her classmates, Alma awakes with no memories of the incident or her past. Her parents seem like strangers and her home is a place filled with ...",,,Series,"['Mireia Oriol', 'Álex Villazán', 'Pol Monen', 'Claudia Roset']",
First Team: Juventus,2018,Ongoing,"['Documentary', 'Reality-TV', 'Sport']",7.3,1948,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,40,,Series,"['D.B. Sweeney', 'Massimiliano Allegri', 'Andrea Barzagli', 'Mehdi Benatia']",
The Day I Met El Chapo: The Kate Del Castillo Story,2017,,"['Documentary', 'Biography']",6.9,998,Famed Mexican actress Kate del Castillo introduces a Hollywood star to a fugitive drug lord. What could go wrong? For her: a lot.,60,,,"['Kate del Castillo', 'Jessica Maldonado', 'Marianne Sauvage', 'Eric del Castillo']",
Daniel Spellbound,2022,Ongoing,"['Animation', 'Action', 'Adventure']",,,"Magic is real, but it's hidden from the public, Daniel knows where to find it. He discovers a strange ingredient, he gets the attention of dangerous alchemists which takes him to an adventure, while the magical world hangs in the balance.",22,,Series,"['Alex Barima', 'Deven Christian Mack', 'Chantel Riley', 'Karn Kalra']",
Tom Segura: Completely Normal,2014,,"['Documentary', 'Comedy']",7.8,2350,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.,74,,TV Special,['Tom Segura'],['Jay Chapman']
Home Game,2020,Ongoing,"['Documentary', 'Sport']",7.1,734,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",36,,Series,"['Mark Strong', 'Guyga', 'Riccardo Lo Bue', 'Melis Murataliyev']",
The Gospel of John,2014,,['Drama'],7.7,779,"The life and toils of Jesus Christ, depicted as written in the gospel of John. Narrated in English, following the New International Version of the scripture, while the actors speak in Aramaic.",160,,,"['David Harewood', 'Selva Rasalingam', 'Mourad Zaoui', ""El Mahmoudi M'Barek""]",['David Batty']
Den osynlige,2002,,"['Drama', 'Fantasy', 'Thriller']",6.4,3078,"After an attack leaves him in limbo, invisible to the living and also near death, a teenager discovers the only person who might be able to help him is his attacker.",101,,,"['Gustaf Skarsgård', 'Tuva Novotny', 'Li Brådhe', 'Thomas Hedengran']","['Joel Bergvall', 'Simon Sandquist']"
Las Muñecas de la Mafia (II),2009,2019,['Action'],6.9,18,,,,Series,"['Amparo Grisales', 'Roger Moreno', 'Franklin Gutiérrez', 'Felipe Bernedette']",
Iliza: Elder Millennial,2018,,['Comedy'],7.2,3660,"Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35, the insanity of the road traveled and what's to come.",72,,TV Special,"['Hunter Hill', 'Iliza Shlesinger']",['Steve Paley']
The Devil Punisher,2020,Ongoing,"['Fantasy', 'Mystery', 'Romance']",5.9,119,"A baker by day and demon fighter by night, Zhong Kui, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.",68,,Series,"['Anson Chen', 'Issac Yiu', 'Roy Chang', 'Bor-Jeng Chen']",
Jaadugar,2021,,"['Comedy', 'Drama', 'Romance']",,,"In a football-loving town, a small-time magician with no athletic skill must win a coveted football trophy in order to marry the love of his life.",,,,"['Jitendra Kumar', 'Javed Jaffrey', 'Arushi Sharma', 'Tiwari Yadeep']",['Sameer Saxena']
The Oscars,2018,,['Music'],5.7,1475,"The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",187,,TV Special,"['Jimmy Kimmel', 'Helen Mirren', 'Viola Davis', 'Willem Dafoe']",['Glenn Weiss']
La Tarotista,2021,,"['Short', 'Comedy', 'Talk-Show']",7.6,12,,,,Short,"['Yolanda Ramos', 'Omar Ayuso', 'Martina Cariddi', 'Mario Casas']",['Martina Hache']
Signal,2018,Ongoing,['Crime'],6.6,175,Two detectives communicate through a walkie-talkie to solve cold cases. One detective exists in the present day and the other detective exists 15 years in the past.,,,Series,"['Kentarô Sakaguchi', 'Michiko Kichise', 'Kazuki Kitamura', 'Kaede Aono']",
Dügün Dernek 2: Sünnet,2015,,['Comedy'],6.3,9757,"The adventures of the box office sensation, Dügün Dernek (Unconventional Wedding) are all set to continue in Dügün Dernek 2: Sünnet (Unconventional Circumcision). After seeing his son ...",112,,,"['Ahmet Kural', 'Murat Cemcir', 'Rasim Öztekin', 'Devrim Yakut']",['Selçuk Aydemir']
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,2017,,['Comedy'],8.0,10322,"Dave Chappelle gives his stand about racially charged run-ins, celebrity scandals and fatherly dilemmas in his stand-up set at Austin's Moody Theater.",66,,TV Special,"['Dave Chappelle', 'Morgan Freeman']",['Stan Lathan']
Bobby Kennedy for President,2018,,"['Documentary', 'Biography', 'Drama']",8.2,1601,"This four-part documentary series weaves together rare and exclusive footage of attorney general, U.S. senator, and presidential candidate Robert F. Kennedy in the 1960s.",245,,,"['Peter Edelman', 'Paul Schrade', 'William Arnone', 'Harry Belafonte']",
Upstarts,2019,,['Drama'],6.7,758,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray.",112,,,"['Naved Aslam', 'Sandeep Bhardwaj', 'Ranjit Deval', 'Mrinal Dutt']",['Udai Singh Pawar']
A Scandall,2016,,['Thriller'],3.1,146,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",112,,,"['Johnny Baweja', 'Reeth Mazumder-Roberts', 'Manav Kaul', 'Puru Chibber']",['Ishaan Trivedi']
Eric Andre: Legalize Everything,2020,,['Comedy'],6.2,2246,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",51,,TV Special,['Eric André'],['Eric Notarnicola']
Madre,2016,,"['Drama', 'Horror', 'Thriller']",5.6,1463,Diana hires Luz to take care of her autistic son but soon suspects the nanny has sinister intentions.,95,,II,"['Daniela Ramírez', 'Cristobal Tapia Montt', 'Aida Jabolin', 'Matías Bassi']",['Aaron Burns']
Sin hijos,2020,,"['Comedy', 'Romance']",5.1,428,A loving divorced father of a young girl meets a beautiful woman from his past who does not like children.,95,,,"['Alfonso Dosal', 'Regina Blandón', 'Francesca Mercadante', 'Jorge Muñiz']",['Roberto Fiesco']
Pasta,2010,Ongoing,"['Comedy', 'Drama', 'Romance']",7.7,729,"A well-produced, feel-good drama, Pasta is the story of Seo Yoo Kyung, who has endured the grueling job of kitchen assistant at high-class restaurant La Sfera for two years in hopes of ...",,,Series,"['Kong Hyo-Jin', 'Sun-kyun Lee', 'Lee Hanee', 'Alex Chu']",
Sakho & Mangane,2019,Ongoing,"['Action', 'Mystery']",6.4,115,"Two cops with very different methods, solving mysterious murder cases surrounded by black magic.",52,,Series,"['Issaka Sawadogo', 'Yann Gael', 'Christiane Dumont', 'Christophe Guybet']",
Canine Intervention,2021,Ongoing,"['Documentary', 'Reality-TV']",6.5,803,"Series follows renowned Oakland dog trainer, Jas Leverette, as he runs one of the top dog training facilities in California.",,,Series,['Jasalah Leverette'],
The Fluffy Movie: Unity Through Laughter,2014,,"['Documentary', 'Comedy']",7.3,3726,"A comedy concert film that captures the on-stage performance and inspirational success story of Gabriel ""Fluffy"" Iglesias.",101,2.83,,"['Gabriel Iglesias', 'Jacqueline Obradors', 'Gina Brillon', 'Alfred Robles']","['Manny Rodriguez', 'Jay Lavender']"
Bad Boy,2020,,"['Action', 'Crime', 'Drama']",3.8,893,"The rise and fall of a soccer club owner, discovering the harsh reality of the sport, often connected with crime and fraud.",135,,I,"['Antoni Królikowski', 'Maciej Stuhr', 'Katarzyna Zawadzka', 'Andrzej Grabowski']",['Patryk Vega']
Çok Filim Hareketler Bunlar,2010,,['Comedy'],4.4,4598,Çok film hareketler bunlar They are a 2010 comedy movie where scenarios and acting are undertaken in BKM group.,134,,,"['Gülsüm Alkan', 'Ibrahim Büyükak', 'Emre Canpolat', 'Murat Eken']",['Ozan Açiktan']
Don-kkot,2017,2018,['Drama'],6.8,245,"""Money Flower"" tells the story of people who are driven by greed. Kang Pil-Joo (Jang Hyuk) grew up at an orphanage, but he now works as a managing director of a legal team at a corporation....",,,Series,"['Seung-jo Jang', 'So-hee Han', 'Ki-Won Nam', 'Sang-woo Chae']",
Suzumiya Haruhi chan no yûutsu,2009,,"['Animation', 'Comedy']",6.7,396,A parody of the original show. Based on the parody manga series.,3,,,"['Minori Chihara', 'Yûko Gotô', 'Aya Hirano', 'Tomokazu Sugita']",
"Los Briceño, una familia todo terreno",2019,Ongoing,['Drama'],7.9,118,"This is the story of ""La Chiqui"", the youngest daughter of a family of truckers. In this universe of trucks, where macho men, popular music and roadside love stories rule, ""La Chiqui"" gets ...",46,,Series,"['Camilo Amores', 'Melisa Bermudez', 'Felipe Bernedette', 'Linda Lucía Callejas']",
Dollar,2019,,"['Action', 'Drama', 'Romance']",6.7,549,"Tarek is given the task to come up with a million-dollar idea for the launch of a new bank. An idea strikes him, but he will only reveal it to the CEO, making Zeina, the CEO's assistant played by Bouchoucha, suspicious.",,,,"['Amel Bouchoucha', 'Adel Karam', 'Jarrod Pistilli', 'Abigail Boucher']",
Les gars sûrs,2022,,"['Action', 'Comedy']",,,"Plot Unknown, Sequel of De l'autre côté du périph (2012).",,,,"['Omar Sy', 'Laurent Lafitte', 'Izïa Higelin', 'Dimitri Storoge']",['Louis Leterrier']
John Was Trying to Contact Aliens,2020,,"['Documentary', 'Short', 'Biography']",6.4,1357,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.,16,,Short,"['John Shepherd', 'John Litrenta']",['Matthew Killip']
Incerta glòria,2017,,['Drama'],6.2,891,"In war-torn Spain, during the tumultuous 1937, a Republican young officer will hopelessly fall for the charms of a deceitful femme-fatale who will not hesitate to use him in her best interest.",115,,,"['Marcel Borràs', 'Núria Prims', 'Oriol Pla', 'Bruna Cusí']",['Agustí Villaronga']
The Last Will and Testament of Charles Abernathy,,,['Thriller'],,,"A billionaire on the eve of his 75th birthday, invites his estranged children back home out of fear that tonight someone or something is going to kill him. He puts each of their inheritances on the line, to make sure they'll help.",,,,"['Rachel Nichols', 'Peyton List', 'Bob Gunton', 'David Walton']",['Alejandro Brugués']
Meenakshi Sundareshwar,2021,,"['Comedy', 'Romance']",,,Two complete strangers decide to get married based on their surnames and later struggle with their long distance marriage.,,,,"['Sanya Malhotra', 'Abhimanyu Dasani', 'Trishaan', 'Ritika Shrotri']",['Vivek Soni']
100% Hotter,2016,Ongoing,['Reality-TV'],4.4,864,"A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.",60,,Series,"['Daniel Palmer', 'Melissa Sophia', 'Karen Williams', 'Zoe Hardman']",
The Haunted House: The Secret of the 'Ghost Ball',2016,Ongoing,"['Animation', 'Adventure', 'Comedy']",8.4,55,"With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",,,Series,"['Megan Baldrey', 'Brianna Johnston', 'Anna Barker', 'Nikki Rae Hallow']",
Corazón loco,2020,,['Comedy'],5.2,1220,Fernando is a family man - equally committed to each of his two families. But one wrong turn brings them crashing together.,108,,,"['Soledad Villamil', 'Adrián Suar', 'Gabriela Toscano', 'Alan Sabbagh']",['Marcos Carnevale']
Tig,2015,,['Documentary'],7.4,2505,"The personal Biography of Tig Notaro, a Stand-up comedian who was diagnosed with cancer.",95,,,"['Stephanie Allynne', 'Zach Galifianakis', 'Sarah Silverman', 'Jennifer Bliss']","['Kristina Goolsby', 'Ashley York']"
Der Wixxer,2004,,"['Comedy', 'Crime', 'Mystery']",6.2,8211,A mysterious serial killer is shocking the underworld. Scotland Yard is investigating the case. Clues lead the detectives to Blackwhite Castle.,85,,,"['Oliver Kalkofe', 'Bastian Pastewka', 'Thomas Fritsch', 'Tanja Wenzel']",['Tobi Baumann']
Pororo the Little Penguin,2003,Ongoing,"['Animation', 'Family']",6.0,67,"The adventures, escapades and mishaps of Pororo the little penguin and his many varied friends.",,,Series,"['So-yeong Hong', 'Goo Ja-Hyeong', 'Hwan Chin Kim', 'Mi Ja Lee']",
Ryuuou no Oshigoto!,2018,,['Animation'],6.0,101,"The story is about a teenage boy who happens to be a shogi master. One day, a nine-year-old girl turns up at his house, requesting to be taken as his disciple. From there, all kinds of wacky hijinks ensue.",23,,,"['Yuma Uchida', 'Rina Hidaka', 'Hisako Kanemoto', 'Ayane Sakura']",
Le voyage au Groenland,2016,,"['Comedy', 'Drama']",6.4,1209,"Thomas and Thomas are going through a rough patch: they are both thirty-something actors living in Paris. They randomly decide to leave the city and fly away to Kullorsuaq, one of the most ...",98,,,"['Thomas Blanchard', 'Thomas Scimeca', 'François Chattot', 'Ole Eliassen']",['Sébastien Betbeder']
Trevor Noah: Afraid of the Dark,2017,,['Comedy'],7.3,4839,"Trevor Noah's Netflix one hour standup special. Amazing comedy covering race in America, immigration politics, international relations and more.",67,,TV Special,['Trevor Noah'],['David Paul Meyer']
C'est quoi cette famille?!,2016,,['Comedy'],6.2,1025,"Seven children from divorced parents, sick of being shared and be always changing house every week, decide to make a stand and take their own decisions.",99,,,"['Julie Gayet', 'Thierry Neuvic', 'Julie Depardieu', 'Lucien Jean-Baptiste']",['Gabriel Julien-Laferrière']
Zwaar verliefd!,2018,,['Comedy'],5.8,737,"A young overweight veterinarian falls for the owner of a dog she saves. The feelings might be mutual, but her insecurity gets in the way.",86,,,"['Barbara Sloesen', 'Jim Bakkum', 'Liza Sips', 'Abbey Hoes']",['Jamel Aattache']
"Breakfast, Lunch & Dinner",2019,Ongoing,['Documentary'],6.8,933,"Chang accompanied by a different celebrity guest exploring a single city, its culture and its cuisine. As the pair travels through each city, they will also uncover new and surprising things about themselves.",43,,Series,"['David Chang', 'John Legend', 'Kate McKinnon', 'Seth Rogen']",
Secret Agent Selection: WW2,2018,,"['Documentary', 'History']",7.7,493,"Immersive history series focusing on one of World War II's most covert organisations, Britain's Special Operations Executive. A group of modern-day volunteers undertake the SOE agent training programme.",60,,,"['Douglas Henshall', 'Debbey Clitheroe', 'Robert Copsey', 'William Beresford Davies']",
Metamorphosis,2019,,['Drama'],7.0,40,"Adam was raise like a normal boy until he bled his first menstrual period. Adam was born with two genitals, an intersex who finds himself in a painful transformation that takes him into the ambiguities of fate and desires.",98,,VI,"['Gold Azeron', 'Iana Bernardez', 'Dylan Ray Talon', 'Ricky Davao']",['J.E. Tiglao']
Hans Zimmer: Live in Prague,2017,,"['Documentary', 'Music']",9.1,2472,The renowned film score composer leads a concert featuring his cinematic compositions.,150,,TV Special,"['Hans Zimmer', 'Yolanda Charles', 'Michael Einziger', 'Nick Glennie-Smith']",['Tim Van Someren']
InMates,2017,Ongoing,['Comedy'],6.6,1200,"While living under one roof, five close-knit 20-somethings maneuver the highs and lows of friendship, romantic entanglements and finding themselves.",25,,Series,"['Ashish Verma', 'Mukti Mohan', 'Raghav Raj Kakker', 'Kashyap Kapoor']",
Calum Von Moger: Unbroken,2019,,['Documentary'],6.2,749,"To many in bodybuilding, Calum Von Moger is seen as the future of the sport. A 2x Mr. Universe champion, Calum was catapulted into social media stardom. Known for his resemblance to Arnold ...",95,,,"['Michael B. Banffy', 'Chris Bumstead', 'Anthony Calligeros', 'Parker Egerton']",['Vlad Yudin']
Doble Kara,2015,2017,"['Comedy', 'Crime', 'Drama']",9.1,12,,,,Series,"['Mylene Dizon', 'Julia Montes', 'Carmina Villaroel', 'Bernard Carritero']",
Sneekweek,2016,,"['Comedy', 'Thriller']",4.6,1210,"Six friends party for a week during the ""Sneekweek"", but they get haunted by a serial killer because of a dark secret from their past..",108,,,"['Carolien Spoor', 'Jelle de Jong', 'Jord Knotter', 'Holly Mae Brood']",['Martijn Heijne']
Internet Famous,2016,,['Comedy'],3.6,1139,The Internet has given them fame. A talent contest could make one of them a superstar. If only they had any talent.,87,,,"['Shane Dawson', 'Steve Greene', 'Wendy McColm', 'Amanda Cerny']",['Michael J. Gallagher']
Charlie's Colorforms City,2019,Ongoing,['Family'],7.1,122,Charlie introduces the audience to a colorful cast of characters while taking them on an imaginative journey.,,,Series,"['Jacob Soley', 'Saara Chaudry', 'Tyler Barish', 'Elliot Kelly']",
Küçük Esnaf,2016,,"['Action', 'Adventure', 'Comedy']",5.6,3853,"A small-time locksmith is left to pay late his father's debts to the mob, falling in love with a lawyer who's also in deep trouble.",104,,,"['Ibrahim Büyükak', 'Zeynep Kocak', 'Gupse Ozay', 'Cengiz Bozkurt']",['Bedran Güzel']
Hard Cell,2022,Ongoing,"['Documentary', 'Comedy']",,,A documentary crew follows the inmates and staff of HMP Woldsley while Catherine Tate portrays multiple characters to capture the penal system at its brutal humorous best.,,,Series,"['Christian Brassington', 'Lorna Brown', 'Caroline Harding', 'Jola Olajide']",
Mariposa,2020,,"['Comedy', 'Drama', 'Romance']",7.4,557,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.",117,,,"['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar']",['Fajar Bustomi']
Érase una vez... pero ya no,,,"['Comedy', 'Musical']",,,"A tragically separated couple must find each other in another life to break a spell on their town, but the arrival of two tourists threaten their chance.",,,,"['Asier Etxeandia', 'Rossy de Palma', 'Daniela Vega', 'Mariana Treviño']",
Anthony Jeselnik: Fire in the Maternity Ward,2019,,['Comedy'],7.2,3157,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",64,,TV Special,['Anthony Jeselnik'],['Marcus Raboy']
Choegoui Sarang,2011,,"['Comedy', 'Drama', 'Romance']",7.8,975,"Gu Ae-Jeong, a wash out idol, meets famous actor Dokgo-Jin by chance. Off to a bad start, a series of rumors makes them get involved in each other's careers and boosts Ae-Jeong's popularity enough to participate in a match making show.",,,,"['Seung-Won Cha', 'Kong Hyo-Jin', 'Gyo-jin In', 'Yoo In-Na']",
Saborîman Kantarô,2017,Ongoing,"['Adventure', 'Comedy', 'Drama']",7.5,710,A stoic book salesman leads a double life as he plays hooky from work to write his sweets blog. In his journey to attain a glimpse of sweets heaven Kantaro samples various Japanese and Western sweets.,24,,Series,"['Matsuya Onoe', 'Ren Ishikawa', 'Sarutoki Minagawa', 'Hiroyuki Onoue']",
Sensei wo Kesu Houteishiki,2020,,"['Mystery', 'Thriller']",4.8,42,"Teichi Gakuen is an advanced school in Tokyo with a high rate of students going on to the University of Tokyo. The 3rd year ""D"" group of students has an excellent academic record. However ...",24,,,"['Ikuho Akiya', 'Riko Kawase', 'Sayu Kubota', 'Marika Matsumoto']",
Operation Ouch!,2012,Ongoing,"['Documentary', 'Animation', 'Comedy']",7.6,107,Dr Chris and Dr Xand explore their way through the world of medicine and biology.,28,,Series,"['Chris van Tulleken', 'Xand van Tulleken', 'Richard Townsley', ""Lucy O'Byrne""]",
Twogether,2020,Ongoing,['Reality-TV'],8.5,344,"Paired together for an unforgettable trip across Asia, stars Lee Seung Gi and Jasper Liu become buddies as they connect with fans and local cultures.",,,Series,"['Jasper Liu', 'Lee Seung-gi']",
Cash Only,2015,,"['Crime', 'Drama', 'Thriller']",6.1,1194,A money troubled man finds some cash in an apartment which later turns out to belong to someone who stops at nothing to get his money back.,91,,,"['Nickola Shreli', 'Brandon Trammer', 'Stivi Paskoski', 'Danijela Stajnfeld']",['Malik Bader']
Serial Killer with Piers Morgan,2017,Ongoing,"['Documentary', 'Crime']",3.8,1314,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",45,,Series,"['Piers Morgan', 'Lorenzo Gilyard', 'Alejandro Henriquez', 'Dawn Knox']",
Brian Regan: On the Rocks,2021,,['Comedy'],6.9,493,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins.",58,,TV Special,"['Brian Regan', 'Elliot Schiff']",['Troy Miller']
The American Meme,2018,,['Documentary'],6.6,10882,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires - and face the pitfalls of fame.",98,,,"['Kirill Bichutsky', 'Hailey Bieber', 'Amanda Cerny', 'Dane Cook']",['Bert Marcus']
Legend Quest,2017,,"['Animation', 'Adventure', 'Comedy']",7.4,411,"In 19th Century America, 12 year old Leo and his ghost companions defend their world against supernatural threats.",,,,"['Johnny Rose', 'Annemarie Blanco', 'Oscar Cheda', 'Paul Tei']",
Joanna Lumley's Silk Road Adventure,2018,,['Documentary'],8.2,221,"This epic new four-part series is Joanna Lumley's grandest and most challenging journey yet, a breath-taking odyssey from Venice to the Chinese border along the veins of the ancient Silk ...",45,,,['Joanna Lumley'],
