title,start_year,end_year,language,run_time,rating,summary,status
Wakfu,2008,,French,20.0,8.0,"Yugo, a 12-year-old Eliatrope with special powers, sets out on a mission to find his true family and uncover the mysteries of Wakfu.",Running
Nero a metà,2018,,Italian,50.0,," Inspector Carlo Guerrieri, a veteran police officer 
from Rome, finds himself partnered with a rookie who was born in Ivory 
Coast but raised in the capital.
 ",Running
Waffles + Mochi,2021,,English,28.0,,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,To Be Determined
Arcane: League of Legends,2021,2024,English,41.0,8.4,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions — and the power that will tear them apart.",Ended
History of Swear Words,2021,2021,English,21.0,6.9,Nicolas Cage hosts this proudly profane series that explores the history and impact of some of the most notorious bad words in the English language.,Ended
Las muñecas de la mafia,,,Spanish,60.0,,,Ended
Hip-Hop Evolution,2016,2020,English,45.0,,"Critically acclaimed MC and journalist Shad Kabango sets out to uncover the foundations of Hip-Hop music. Beginning his journey in the Bronx, Shad meets with the DJs and MCs who set the template for all to follow. Along the way, Shad retraces Hip-Hop's progression from underground parties to mainstream culture, but realizes something much more profound - that Hip-Hop's success is only part of the story: from the boroughs of NYC to the ghettos of LA and beyond, Hip-Hop created a new voice for the disenfranchised.",Ended
Sunderland 'Til I Die,2018,2024,English,41.0,7.0,Sunderland 'Til I Die follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,Ended
The Guest,2018,2018,Korean,60.0,7.7,"The story of a psychic, a priest, and a detective who fight unusual crimes committed by strange powers.",Ended
Siempre bruja,2019,2020,Spanish,38.0,6.5,"After a witch time-travels to avoid being burned at the stake, she must adjust to life in present-day Cartagena -- but once a witch, always a witch.",Ended
Karakai Jouzu no Takagi-san,2018,2022,Japanese,20.0,7.7,"""If you blush, you lose.""Living by this principle, the middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to turn the tables and get back at her some day. And so, he attempts to tease her day after day, only to find himself victim to Takagi-san's ridicule again sooner than later. Will he be able to make Takagi-san blush from embarrassment even once in the end?",Ended
To aru majutsu no indekkusu,,,,,,,
Leila,2019,2019,Hindi,46.0,6.7,"In the forgotten margins of the segregated communities of a dystopian future, a woman searches for the daughter she lost upon her arrest years ago.",Ended
Glitch Techs,2020,2020,English,26.0,7.8,Game-world monsters are wreaking real-world havoc. Here comes tech support!,Ended
A Love So Beautiful,2024,2024,Thai,60.0,,"Som-O and Chadjen are next-door neighbors and childhood friends. They have been close ever since they were kids as they would wait for the school bus together and were always in the same class. When Chadjen's father passed away one day and his mother remarried and relocated to France, Chadjen refused to go along. His mother had no choice but to leave him in the care of the next-door family, which is Som-O's.In high school, Som-O and Chadjen make new friends with New and Khao. The two of them are amazing friends who always give Som-O love advice. Their group expands when a new student arrives, Tao who is a swimmer. All of them go through the highs and lows of youth together and become inseparable as a group of friends.Time passes, and now they're in college. Even though each of them chooses different fields of study, they're still at the same university. Tao is following his dream of becoming a professional swimmer.When Som-O and Chadjen are together, what blossoms between them seems to be going well. But as it turns out, things are only getting worse because Som-O feels like they don't have time for each other anymore. Even when Som-O needs help, Chadjen doesn't have time for her because he's busy studying to be a  doctor. Because of that, they decide to go their separate ways.",Ended
Cooking with Paris,2021,2021,English,25.0,,"Paris Hilton can cook...kind of. And she's turning the traditional cooking show upside down. She's not a trained chef and she's not trying to be. With the help of her celebrity friends, she navigates new ingredients, new recipes and exotic kitchen appliances. Inspired by her viral YouTube video, Paris will take us from the grocery store to the finished table spread - and she might actually learn her way around the kitchen.",Ended
Medal of Honor,2018,2018,English,55.0,5.7,"Medal of Honor celebrates eight recipients of the military's highest award for valor — bestowed upon fewer than 3,600 Americans since President Abraham Lincoln signed it into law in 1861. Family members and brothers-in-arms recall the extraordinary odds faced by the servicemen, and through intense recreations and archival footage, viewers get inside their minds to uncover how they handled what many have described as ""the worst day of their lives.""",Ended
Married to Medicine,2013,,English,60.0,5.0,"On Married to Medicine, the ladies of Atlanta's exclusive medical inner circle Dr. Jacqueline Walters, Dr. Simone Whitmore, Dr. Heavenly Kimes, Toya Bush-Harris, Quad Webb-Lunceford and Lisa Nicole Cloud return with more patients, less patience and a few heart palpitations along the way.",Running
Al Hayba,2017,2021,Arabic,44.0,,"Al Hayba is an area located on the borders between Syria and Lebanon, Jabal and his clan, Sheikh El Jabal, controls arms trading and smuggling at the borders. Jabal and his family lead a modern life style, yet, he relies still on the traditional customs of the clan to solve conflicts and to affirm his authority The family receives the news of the death of their son Adel who fled to Canada more than 15 years ago because of a vendetta. They hadn't received any news from him for the past 10 years, and there he comes back now as a lifeless corpse, accompanied by his wife and only son who he named after his brother Jabal. The tale of a coherent and noble family, whose secrets and conflicts are revealed through a newcomer, a stranger, but who becomes, with time, a pillar in the family home. Between the quarrel over power and influence, and amid conflicting wills, men's chivalry appear.",Ended
Ailiseu,,,,,,,
Suzumiya Haruhi no Yuuutsu,2006,2009,Japanese,25.0,7.8,"On the first day of high school a beautiful girl named Haruhi Suzumiya introduces herself as having ""no interest in ordinary humans"". She asks for any aliens, time travelers, sliders or espers to join her. Watching her weird behaviour is Kyon a boy who sits in front of Haruhi and is the only person who talks to her. Commenting on Haruhi's joining every club in school and then quitting Kyon unwittingly gives Haruhi an idea to start her own after school club. Thereafter Kyon and several others find themselves literally dragged into the Save our world by Overloading it with fun Suzumiya Haruhi's Brigade (the S.O.S. Brigade for short).",Ended
Kid Cosmic,2021,,English,22.0,,"Kid Cosmic is about a young boy who dreams of becoming a hero, and when he stumbles across some cosmic stones of power his dreams appear to have come true! Unfortunately the reality of being a hero vs. the fantasy of being a hero are completely different and this challenge becomes the biggest battle he has to face. The Kid may be the good guy, but he's really bad at it!",To Be Determined
El Reino,2021,2023,Spanish,46.0,6.3,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",Ended
Cardcaptor Sakura,1998,2000,Japanese,25.0,7.3,"Sakura stumbled upon the book of Clow Cards in a library. Accidentally setting the magical cards loose, it's now up to Sakura to catch them all with her best friend Tomoyo, and Kerberos, the guardian of the cards.",Ended
Neo Yokio,2017,2018,English,29.0,5.6,"Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",Ended
Gekkan Shoujo Nozaki-kun,2014,2014,Japanese,25.0,7.2,"Sakura Chiyo confesses to her crush, Nozaki-kun, but he mistakes her as a fan! Unable to convey her feelings, what happens when he invites her to his house? Find out in this hilarious series!",Ended
Malibu Rescue: The Series,2019,2020,English,24.0,5.7,"On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.",Ended
Yungnyong-i Nareusya,,,,,,,
Akashic Records of Bastard Magic Instructor,2017,2017,Japanese,25.0,7.7,"Glenn is a part-time teacher at a magic school who is inclined to write ""self-study"" on the blackboard and then take a nap. One of his students, Sistine, gets angry and challenges him to a duel and he is easily defeated. However, when a terrible incident threatens the school, Glenn shows intense dedication to protecting his students.",Ended
Bee and PuppyCat,2022,,English,26.0,,"On a charming magical island, the impulsive Bee and her furry pal get up to all sorts of adventures while working for an intergalactic temp agency.",To Be Determined
The Magic School Bus Rides Again,2017,2020,English,25.0,5.5,"Ms. Frizzle's kid sister Fiona takes the wheel at Walkerville Elementary, leading the class on wild adventures packed with science-fueled fun.",Ended
Hyena,2020,2020,Korean,70.0,,"Yoon Hee Jae and Jung Geum Ja are lawyers who work for the top 1% in society. Jung Geum Ja is a lawyer, who is after money only. She wins her cases using any means necessary. Yoon Hee Jae is an elite lawyer, who is smart and confident at his job.",Ended
Middleditch & Schwartz,2020,2020,English,52.0,,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.,Ended
Craig Ross Jr's Monogamy,2018,,English,40.0,,"Craig Ross Jr's Monogamy is an ensemble drama about 4 couples from all over the country who travel to Los Angeles to undergo a new type of treatment called Swap Therapy to repair their broken marriages. Swap Therapy is the process of switching spouses in order to better define and thus fix, what's lacking in your own relationship.",To Be Determined
Girls Hostel,2018,,Hindi,22.0,,"Imagine a night in with four girls. Now imagine doing that for four years. In a building full of girls that is a Girl's Hostel. Live the Dushmani, the Dosti, the Pyaar, the Bhasad.",To Be Determined
Zbrodnia,2014,2015,Polish,60.0,,The peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes.,Ended
Vampires,2020,2020,French,40.0,7.0,"A Paris teen who's half human, half vampire grapples with her emerging powers and family turmoil as she's pursued by a secret vampire community.",Ended
La reina de Indias y el conquistador,2020,,Spanish,45.0,,"Years after Spanish conquistador Pedro de Heredia betrayed her people and broke her heart, indigenous woman Catalina reenters his life to get revenge.",To Be Determined
The Platform,2020,2021,Arabic,45.0,,"A programming genius builds a fact-finding, truth-seeking internet portal while reckoning with trouble at home.",Ended
Super WHY!,2007,2016,English,30.0,5.8,"Wyatt and his pals, the Super Readers, solve problems by consulting classic stories such as Little Miss Muffet, Hansel and Gretel and more.",Ended
Danger Mouse,1981,1992,English,10.0,6.6,"Danger Mouse is a British children's animated television series produced by Cosgrove Hall Films for Thames Television. It featured the eponymous Danger Mouse who worked as a secret agent. The show was a parody of British spy fiction, particularly the Danger Man series and James Bond. The show originally ran in the United Kingdom from 28 September 1981 to 19 March 1992.",Ended
The Healing Powers of Dude,2020,,English,25.0,6.0,"11-year-old Noah Ferris is struggling with a social anxiety disorder that can make the simplest everyday activities feel like he's drowning in quicksand. But after years of homeschooling, Noah bravely decides that he wants to give middle school a chance and perhaps even make some friends he's not related to. To help him navigate his new environment, his parents get Noah a scruffy, high-energy emotional support dog called Dude. While Dude's a novice with a short attention span and a distracting obsession with treats, what he lacks in experience, he makes up for in charm, spunk and wanting the best for Noah. If this unlikely pair can find a way to overcome their differences and work together, they may just survive everything from wisecracking pre-teens to a cat-obsessed school principal and make it through the school year.",To Be Determined
13 Commandments,2018,2018,Dutch,55.0,7.6,A modern-day Moses commits a series of gruesome crimes in order to jolt society's conscience and restore its moral values. A soon-to-retire police officer and his ambitious young partner get caught up in the impossible hunt for the perpetrator who becomes increasingly popular.,Ended
The Titan Games,2019,2020,English,66.0,7.7,"Competitors from across America will step inside an electrifying arena and put themselves to the ultimate test by facing one of six reigning Titans. They will battle their opponents in remarkable feats that will require both mental stamina and physical strength. If a contender can defeat one of the existing Titans, they will take their place as a member of the elite Titan group. However, winning is just the start in this arena. Once one becomes a Titan, they will need to be victorious every week to remain at the top. The season finale will end with an epic battle where the Titans compete against one another in hopes to become the last male and female standing.",Ended
Transformers: Robots in Disguise,2015,2017,English,30.0,4.8,"In Transformers: Robots in Disguise, Bumblebee is summoned to save Earth from a new faction of Decepticons and assembles a rogue team of young Autobots that includes a rebel bad boy bot, an elite guard cadet, a bombastic Dinobot and hyperactive Mini-Con to capture their new enemies. Each new bot is a fully capable action hero but inexperienced in working together in a team, forcing Bumblebee to become both squad leader and coach.",Ended
The Holiday Movies That Made Us,2020,2020,English,45.0,6.8,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.",Ended
Hello? It's Me!,2021,2021,Korean,70.0,7.0,"Ban Ha Ni is 37-years-old and a single woman. She holds a temporary position at work, which makes her nervous that she might get fired. She is generally servile and timid. Considering her current state, she does not want to be single. One day, 17-year-old Ban Ha Ni from the past comes to 37-year-old Ban Ha Ni. 17-year-old Ban Ha Ni is totally different from her older self. The younger Ban Ha Ni is bright and optimistic.",Ended
Well-Intended Love,,,,,,,
"Hi bye, Mama!",2020,2020,Korean,80.0,,"When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",Ended
Nicky Jam: El Ganador,2018,,Spanish,45.0,,"Nicky Jam: El Ganador is Nicky Jam's official and authorized true story, from his humble origins in Boston, his turbulent life in the streets full of violence and vices, to his rise to become the King of Reggaeton, one of the most popular musical genres in the world. El Ganador is a story about overcoming obstacles, the pursuit of success and about having to start from zero with everything against you, again and again. It's about losing everything and recovering it by doing what you love, until fulfilling your dreams.",Running
Gakusen Toshi Asterisk,2015,2016,Japanese,25.0,6.3,"The Academy City on the water, Rikka (otherwise known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."" The young boys and girls of the ""Starpulse Generation"" belonging to the six academies made their wishes with Shining Armaments in their hands, vying for supremacy—Amagiri Ayato is one of them.<br /><br />Ayato arrived at Rikka at the invitation of the Student Council President of the Seidoukan Academy, Claudia, and right after that he incurred the wrath of the ""Petalblaze Witch"" Julis, and ended up having to duel her.<br /><br />The greatest academy battle entertainment, begins here!",Ended
"Go, Dog. Go!",2021,,English,13.0,7.8,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",To Be Determined
Thus Spoke Kishibe Rohan,2020,2022,Japanese,50.0,,Thus Spoke Kishibe Rohan is a live-action mini-series based on the manga series of the same name by Hirohiko Araki. Spin-off about talented manga artist Rohan Kishibe,Ended
The Pentaverate,2022,2022,English,26.0,5.1,"The Pentaverate explores a secret society of five men who have been working to influence multiple major world events for as long as the Black Plague of 1347. Taking on the call to uncover the truth, a Canadian journalist finds himself at the center of the mission to potentially save the world.",Ended
Real Rob,2015,2017,English,31.0,4.5,Go inside the world of comedian and actor Rob Schneider in this comedy series that follows the ups and downs of his career and family life.,Ended
Uisa Yohan,,,,,,,
Abstract: The Art of Design,2017,2019,English,45.0,7.9,"In Abstract: The Art of Design, step inside the minds of the most innovative designers working today in a variety of disciplines and learn how design impacts every aspect of life.",Ended
Queen Sono,2020,2020,English,42.0,6.8,A highly trained South African spy must face changing relationships in her personal life while taking on her most dangerous mission yet.,Ended
"Fresh, Fried & Crispy",2021,2021,English,26.0,,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",Ended
Betty en NY,2019,2019,,45.0,,"Betty is a young Latina in New York who, rejected in multiple jobs, accepts one below her qualifications in the fashion industry. Amid the glamor and business, the war between the pretty and the ugly, Betty grows and faces the biggest challenge of her life: love.",Ended
Instant Hotel,2017,2019,English,71.0,,"From the Top End to tropical North Queensland, from Bondi to the Barossa, from Melbourne to the mighty Murray River... We're on the hunt for Australia's absolute best ‘Instant Hotel'!Tapping into the worldwide trend of homeowners renting out their homes as holiday accommodation, Instant Hotel will see 10 teams of two competing for the title of Best Instant Hotel.Teams will score each other on: the house, location, nearby attractions, value for money and the all-important quality of a good night's sleep. <br />And as contestants soon find out, like most travel adventures, what might seem like a dream online is not always what you'll find when you arrive. How will our proud Instant Hotel owners take constructive feedback from their guests?",Ended
Diagnosis,2019,2019,English,47.0,6.0,"Based on Dr. Lisa Sanders' hugely popular column in The New York Times Magazine, Diagnosis follows a variety of patients on their respective journeys toward finding a diagnosis, and potentially a cure, for the mysterious illnesses they're living with. By combining the power of global crowdsourcing, social media, and established medical expertise, each case is untangled with illuminating new insights that had previously eluded doctors.",Ended
Last Chance U: Basketball,2021,,English,58.0,,"Last Chance U: Basketball is an honest, gritty look inside the world of community college basketball. Over the course of eight episodes, viewers will follow the East Los Angeles College Huskies (ELAC) in their high stakes chase to an unprecedented California state basketball championship. Led by passionate head coach John Mosley, the ELAC team is made up of former D1 recruits and powerhouse athletes hustling to prove themselves for a last chance to fulfill their dreams of playing at the next level. But the team is tested as the players battle adversity, inner demons, and emotions on and off the court.",To Be Determined
Where Stars Land,2018,2018,Korean,35.0,7.6,"Where Stars Land follows the lives of the people working at the airport.Lee Soo Yun is a top-tier university graduate who is accepted to work at Incheon Airport. He is mysterious and keeps people at a distance. Meanwhile, Han Yeo Reum is a woman who has dreamed of working at the Incheon Airport but has never been on a plane. She becomes a passenger service agent who is known as a ""human bomb"" due to her accident prone nature.",Ended
The Fiery Priest,2019,2024,Korean,44.0,7.8,A drama about a Catholic priest with anger management issues and a detective from the Gudam Police Station who meet during their joint investigation into the murder of an elderly priest.,Ended
The Adventures of Puss in Boots,2015,2018,English,25.0,6.6,"The Adventures of Puss in Boots is about the world's greatest feline fighter, lover and milk connoisseur takes on daring adventures in exotic locations in this family-friendly comedy series.",Ended
Super Wings,2014,2024,English,15.0,,"The series curriculum focuses on issues of creative problem solving and cultural diversity. As the Super Wings team zip around the globe helping those in need, the characters visit fifty-two cities in forty-five countries introducing young viewers to different food, language and culture. The Super Wings' travels offer young viewers a glimpse of the landscapes, languages, animals, food, clothing, games, music, and traditions that characterize different countries and cultures around the world.",Ended
Criminal: Germany,2019,2019,German,44.0,7.6,"In the interview room, detectives go head-to-head with suspects and try to get to the truth--even if it means breaking the rules and risking it all.",Ended
Top Secret UFO Projects Declassified,2021,2021,English,60.0,,"Top Secret UFO Projects Declassified will show how, despite repeated denials, the significance of UFO sightings has been analysed and discussed at the highest level of government in the UK, the United States and the former Soviet Union since the end of World War II.With interest in UFO phenomena on the rise in recent years, this series provides new insight into the UFO monitoring programmes the world's leading governments have sought to hide and shocking facts about the real extent of reported extra-terrestrial contacts.",Ended
Accidentally in Love,2018,2018,Chinese,60.0,7.4,"The quirky experiences of a popular singer who returns to school and becomes seat mates with a seemingly ordinary girl.<br /><br />When Si Tu Feng decides to go back to school, he becomes the center of attention as fans, classmates and the media follow his every move. He meets Chen Qing Qing, an ordinary student with a dual personality.",Ended
Hyperdrive,2019,2019,English,48.0,6.1,"Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built.",Ended
Hasmukh,2020,,Hindi,33.0,,"A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.",To Be Determined
Wir sind die Welle,2019,2019,German,50.0,6.4,"Based on the award-winning 2008 film of the same name and inspired by a real experiment that shocked the world, Wir sind die Welle follows a group of rebellious teenagers. In pursuing their dream of a better tomorrow they build a community that spreads into a mass phenomenon. What begins as an idealistic and playful uprising against the establishment, soon starts to take a terrifying turn – but the power of The Wave has already grown out of control.",Ended
Archibald's Next Big Thing,2019,2020,English,12.0,,"Archibald's Next Big Thing follows the adventures of Archibald Strutter, a simple chicken who ‘yes-ands' his way thru life. Though living in the moment often leads him astray, Archibald always finds his way back home, to an egg-shaped house in the center of Crackridge he shares with his three siblings, Sage, Finly, and Loy, and his trusty sidekick, Bea. Archibald's Next Big Thing is a fresh comedy about one chicken's joy for life and celebrating the journey, not just the destination.",Ended
Watashi ga Motete Dousunda,2016,2016,Japanese,25.0,6.9,"Serinuma Kae is what you'd call a ""fujoshi."" When she sees boys getting along with each other, she loves to indulge in wild fantasies! One day her favorite anime character dies and the shock causes her to lose a ton of weight. Then four hot guys at school ask her out, but that isn't exciting to her at all — she'd rather see them date each other!",Ended
Superstition,2017,2018,English,60.0,5.1,"Superstition follows the Hastings, a family who have owned the only funeral home and graveyard in the town of La Rochelle for as long as anyone can recall. In addition to providing services for all faiths, the family specialty is handling ""afterlife care"" for the unexplained deaths of folks at the hands of demonic entities, and other unworldly phenomena that have long haunted the town. The Hastings use arcane weaponry, incredible strength, mystical alchemy skills, and a deep knowledge of the occult and ancient lore from around the world to quell the evil within the shadows of the town.",Ended
Age of Youth,2016,2017,Korean,62.0,8.0,"With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.",Ended
Boca a Boca,2020,2020,Portuguese,41.0,5.8,"In a Brazilian cattle-ranching town, adolescents panic when they're threatened by the outbreak of a contagious infection transmitted by kissing.",Ended
V.R. Troopers,1994,1996,English,30.0,,"18-year-olds Ryan Steele and J.B. Reese are co-employees of the Tao Dojo in Cross World City, as well as best friends with a news reporter named Kaitlin Starr from the Underground Voice Daily. One day, Ryan Steele receives a startling message regarding his missing father, Tyler, from a man named Professor Horatio Hart.The threesome are called to Professor Hart's laboratory on the outskirts of the city, where they learn that an evil mutant named Grimlord is responsible for the abduction of Ryan's father. Thanks to a recorded message left by Tyler, he and Professor Hart inform Ryan, Kaitlin, and J.B. of a technological marvel that they believe would be able to fight Grimlord and keep the real world safe from his tyranny—the perfect melding of man and machine, which they have named V.R. Troopers.With special pendants called Virtualizers worn around their necks, Ryan, Kaitlin, and J.B. must transform into action and travel between their world and the world of Virtual Reality to defend the universe from Grimlord and his mutant army.",Ended
Prank Encounters,2019,,English,23.0,,Each episode of Prank Encounters takes two complete strangers who each think they're starting their first day at a new job. It's business as usual until their paths collide and these part-time jobs turn into full-time nightmares.,To Be Determined
The Disastrous Life of Saiki K.: Reawakened,2019,2019,Japanese,23.0,,"Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now.",Ended
Numberblocks,2017,,English,5.0,5.4,"Numberblocks is a CBeebies series that teaches children about numbers through animation, with fun songs, games and adventure!The show is about having as much fun as possible with numbers. revealing the patterns at play and building a deep understanding of how numbers work on a conceptual and practical level.",Running
Floor Is Lava,2020,2022,English,32.0,5.3,"Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers. Yes, really.",Ended
"Gwaenchanhah, Sarangiya",,,,,,,
Fate/Grand Order: Zettai Maju Sensen Babylonia,,,,,,,
Diamond City,,,,,,,
Ultimate Beastmaster,2017,2018,English,55.0,7.5,Terry Crews and Charissa Thompson host this intense obstacle course competition featuring elite athletes from the U.S. and five other countries.,Ended
World's Most Wanted,2020,2020,English,47.0,6.0,Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles some of the world's most wanted.,Ended
Spice and Wolf,2008,2009,Japanese,30.0,,"Holo is a powerful wolf deity who is celebrated and revered in the small town of Pasloe for blessing the annual harvest. Yet as years go by and the villagers become more self-sufficient, Holo, who stylizes herself as the ""Wise Wolf of Yoitsu"", has been reduced to a mere folk tale. When a traveling merchant named Kraft Lawrence stops at Pasloe, Holo offers to become his business partner if he eventually takes her to her northern home of Yoitsu. The savvy trader recognizes Holo's unusual ability to evaluate a person's character and accepts her proposition. Now in the possession of both sharp business skills and a charismatic negotiator, Lawrence inches closer to his goal of opening his own shop. However, as Lawrence travels the countryside with Holo in search of economic opportunities, he begins to realize that his aspirations are slowly morphing into something unexpected.",Ended
7SEEDS,2019,2020,Japanese,25.0,7.4,"In the immediate future, a giant meteorite has collided with earth. All living organisms, including mankind, have been wiped off the face of the planet. The government, who had foreseen this outcome, took measures to counter the worst-case scenario called Project 7SEEDS, in which five sets of seven young men and women were carefully selected and placed into teams. Each participant sought ways to survive on a deserted island.",Ended
The Netflix Afterparty,2021,2021,English,36.0,,"Hosts David Spade, Fortune Feimster and London Hughes welcome guests from the newest and biggest Netflix titles for fun conversations, skits and more.",Ended
Maya y los Tres,2021,2021,Spanish,36.0,8.0,A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods -- and humankind.,Ended
Itai no wa Iya nano de Bōgyoryoku ni Kyokufuri Shitai to Omoimasu.,2020,,Japanese,30.0,7.3,"Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn't dislike games, what she really, truly dislikes is being in pain. She creates a character named Maple, and decides to put all her points in VIT to minimize pain. As a result, she moves slowly, can't use magic, and even a rabbit can get the best of her. But as it turns out, she acquires a skill known as ""Absolute Defense"" as a result of her pumping points into VIT, as well as a ""Counter Skill"" that works against special moves. Now, with her ability to nullify all damage, she goes on adventures.",Running
Go Go Squid!,2019,2019,Chinese,47.0,7.3,Love story between a cover singer of Japanese songs and a genius IT programming student and legendary professional gamer.,Ended
My Next Guest Needs No Introduction,2018,,English,51.0,6.5,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.,Running
God Eater,2015,2016,Japanese,25.0,7.3,"The Far East, 2071. The domain of the mad gods. In the early 2050s, unknown life forms called ""Oracle cells"" begin their uncontrolled consumption of all life on Earth. Their ravenous appetite and remarkable adaptability earn them first dread, then awe, and finally the name ""aragami"". In the face of an enemy completely immune to conventional weapons, urban civilization collapses, and each day humanity is driven further and further toward extinction. One single ray of hope remains for humanity. Following the development of ""God Arcs""—living weapons which incorporate Oracle cells—their wielders are organized into an elite force. In a world ravaged by mad gods, these ""God Eaters"" fight a desperate war..",Ended
Grizzy et les Lemmings,2017,,,8.0,6.4,"In the Nutty Hill Natural Park, in Canada, there is a small haven of human civilization: the Ranger's Cabin.The bear Grizzy sets up his quarters there to enjoy the comfort of men as soon as the Ranger's back is turned. No animal would dare challenge him for this privilege - except lemmings, the most harmless, stupid and ridiculous family of all mammals! These cheeky little creatures consider the chalet to be a unique amusement park. And there are so many of them that they can stand up to the bear and enjoy their share of El Dorado!By arguing over the occupation of the Ranger's house by all means, Grizzy and the Lemmings end up literally blowing up the house one day when a whole shipment of fireworks is lit unexpectedly. The Ranger Station lands on the Great Wall of China, but there is no question for the passengers abandoning this ship which is now drifting towards unknown territories.",Running
True and the Rainbow Kingdom,2017,2020,English,24.0,,"On True and the Rainbow Kingdom, when something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",Ended
Rotten,2018,2019,English,55.0,7.1,This docuseries travels deep into the heart of the food supply chain to reveal unsavory truths and expose hidden forces that shape what we eat.,Ended
Ugly Delicious,2018,2020,English,51.0,7.5,"David Chang travels the world with writers and chefs, activists and artists, who use food as a vehicle to break down cultural barriers, tackle misconceptions and uncover shared experiences. Ugly Delicious ventures out of polished kitchens into the wider world to explore Viet-Cajun cuisine in Houston, Neapolitan Pizza in Tokyo, home cooking in Copenhagen, and much more.",Ended
Dakteo Peurijeuneo,,,,,,,
Use for My Talent,2021,2021,Chinese,45.0,,"Because of his incomplete family, Gu Ren Chi has a closed personality and misogyny. Shuang Jiao once had a happy family, but she later lost her mother in a car accident and became a sleazy person. The two met when Shuang Jiao became an employee of Gu Ren Chi's cleaning company. Every day they became closer and under the influence of each other began to heal from their wounds. All goes well until Shuang Jiao learns that the death of her mother is connected with the grandfather of Gu Ren Chi ...",Ended
Trailer Park Boys: Out of the Park: Europe,2016,2016,English,30.0,6.3,"The Trailer Park Boys are leaving Nova Scotia behind for a dose of European adventure. Ricky, Bubbles and Julian head across the pond for a new flavor of fun.",Ended
Beat Bugs,2016,,English,30.0,4.8,"Beat Bugs is about five funny, charming young bugs who have adventures and learn life lessons in their overgrown backyard, in stories inspired by the songs of The Beatles.",To Be Determined
Find Me in Your Memory,2020,2020,Korean,35.0,7.0,"A melodrama romance which revolves around Lee Jung Hoon, a man with hyperthymesia with a condition that gives people the ability to remember an abnormally vast amount of their life experiences in vivid detail, and Yeo Ha Jin, a woman who has forgotten the most important moments of her life. The two people with similar scars fatefully cross paths one day and come to love each other.",Ended
The Unlisted,2019,,English,25.0,6.4,Twelve-year-old identical twins Dru and Kal discover that the government is secretly tracking and manipulating Australia's youth via electronic tracking devices. Together with a group of underground vigilante kids – The Unlisted – they must stop the evil authorities from creating an army of young soldiers who can be manipulated to serve the wealthiest citizens.,Running
The American Barbecue Showdown,2020,,English,43.0,,Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.,To Be Determined
Sword Art Online Alternative: Gun Gale Online,2018,,Japanese,30.0,6.7,"Sword Art Online Alternative: Gun Gale Online centers on Karen Kohiruimaki, who is bad at dealing with people in her life and plays virtual shooter MMO Gun Gale Online as the pink-clad Llen. She eventually meets a player named Pitohui, who pressures her into joining the Battle Royale-style tournament known as Squad Jam.",Running
Loaded,2017,2017,English,51.0,6.4,Dramedy that looks at what it means to be rich beyond your wildest dreams at a time when most of your friends are poor. It follows four life-long friends who become multi-millionaires overnight after selling their start-up vidgame company.,Ended
